ACOUSTICS,,
8,University of Cambridge,86.52
9,University of Toronto,86.12
10,University of Chinese Academy of Sciences,85.44
,,
,,
,,
BUSINESS,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Pennsylvania,94.45
3,University of Michigan,92.31
4,Erasmus University Rotterdam,92.03
5,Indiana University - Bloomington,88.97
6,University of Minnesota,88.83
7,Pennsylvania State University,87.81
8,Duke University,87.12
9,Arizona State University,86.39
9,"University of Maryland, College Park",86.39
,,
,,
,,
"BUSINESS, FINANCE",,
World Rank,Institution,Score
1,New York University,100
2,University of Pennsylvania,99.28
3,University of Chicago,99.1
4,Harvard University,96.72
5,Columbia University,93.8
6,University of Michigan,91.39
7,Massachusetts Institute of Technology,90.7
8,Stanford University,90.2
9,University of Texas at Austin,89.14
10,Tilburg University,88.13
,,
,,
,,
CARDIAC & CARDIOVASCULAR SYSTEMS,,
World Rank,Institution,Score
1,Harvard University,100
2,Duke University,92.43
3,Columbia University,86.8
4,University of Toronto,85.37
5,University of Pennsylvania,83.99
6,Johns Hopkins University,83.05
7,Erasmus University Rotterdam,82.71
8,Imperial College London,82.54
9,Stanford University,81.83
10,Emory University,81.78
,,
,,
,,
CELL & TISSUE ENGINEERING,,
World Rank,Institution,Score
1,Harvard University,100
2,Stanford University,85.06
3,University of Toronto,80.61
4,Kyoto University,79.75
4,"University of California, San Francisco",79.75
6,"University of California, Los Angeles",79.39
6,University of Cambridge,79.39
8,Massachusetts Institute of Technology,79.21
9,Johns Hopkins University,76.22
10,National University of Singapore,75.55
,,
,,
,,
CELL BIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,"University of California, San Francisco",87.25
3,Massachusetts Institute of Technology,86.16
4,Stanford University,85.94
5,University of Pennsylvania,85.89
6,"University of California, San Diego",85.65
7,University of Cambridge,85.26
8,University of Toronto,84.41
9,Yale University,84.31
10,Johns Hopkins University,83.33
,,
,,
,,
"CHEMISTRY, ANALYTICAL",,
World Rank,Institution,Score
1,Nanjing University,100
2,Hunan University,99.89
3,Zhejiang University,97.61
4,Jilin University,96.41
5,Wuhan University,95.27
6,University of Chinese Academy of Sciences,94.68
7,Southwest University (China),92.1
8,Tsinghua University,90.68
9,University of Barcelona,90.32
10,National University of Singapore,90.27
,,
,,
,,
"CHEMISTRY, APPLIED",,
World Rank,Institution,Score
1,Jiangnan University,100
2,South China University of Technology,96.94
3,China Agricultural University,96.07
4,Zhejiang University,95.28
5,National Taiwan University,92.41
6,University of Porto,91.1
7,Nanjing Agricultural University,89.58
8,Wageningen University and Research Centre,88.78
9,"University of California, Davis",88.42
10,China Medical University (Taiwan),87.78
,,
,,
,,
"CHEMISTRY, INORGANIC & NUCLEAR",,
World Rank,Institution,Score
1,Nanjing University,100
2,University of Valencia,95.22
3,University of Barcelona,94.89
4,University of Strasbourg,94.46
5,University of Chinese Academy of Sciences,93.87
6,Grenoble Alpes University,92.63
7,Nankai University,91.4
7,"University of California, Berkeley",91.4
9,Jilin University,91.22
10,University of Lisbon,90.25
,,
,,
,,
"CHEMISTRY, MEDICINAL",,
